[2023-01-17 16:23:36,166] [autoreload.py:677] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2023-01-17 16:23:43,020] [server.py:111] [server:run] [INFO]- HTTP/2 support enabled
[2023-01-17 16:25:36,882] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.03, 127.0.0.1:50456]
[2023-01-17 16:25:44,559] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/234/change/?_to_field=id 200 [0.16, 127.0.0.1:50464]
[2023-01-17 16:25:44,619] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.04, 127.0.0.1:50464]
[2023-01-17 16:25:46,862] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/230/change/ 200 [0.18, 127.0.0.1:50464]
[2023-01-17 17:22:36,918] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/saas/casenew/230/change/ 200 [4.46, 127.0.0.1:54177]
[2023-01-17 17:22:37,362] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/dark_mode.css 200 [0.31, 127.0.0.1:54177]
[2023-01-17 17:22:37,393] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/nav_sidebar.css 200 [0.30, 127.0.0.1:54184]
[2023-01-17 17:22:37,450] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/vendor/select2/select2.css 200 [0.20, 127.0.0.1:54185]
[2023-01-17 17:22:37,458] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/autocomplete.css 200 [0.04, 127.0.0.1:54177]
[2023-01-17 17:22:37,465] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/responsive.css 200 [0.04, 127.0.0.1:54184]
[2023-01-17 17:22:37,470] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/fonts.css 200 [0.01, 127.0.0.1:54177]
[2023-01-17 17:22:37,509] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/css/widgets.css 200 [0.02, 127.0.0.1:54185]
[2023-01-17 17:22:37,767] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/jquery/jquery.js 200 [0.26, 127.0.0.1:54184]
[2023-01-17 17:22:37,794] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /static/admin/js/vendor/select2/select2.full.js 200 [0.17, 127.0.0.1:54185]
[2023-01-17 17:22:37,816] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /admin/jsi18n/ 200 [0.26, 127.0.0.1:54177]
